Accuracy,Precision,Recall,F1,ROC-AUC,Model
0.8525983487129675,0.401920438957476,0.6314655172413793,0.4911986588432523,0.7851171749664987,SVM
0.8462846041767849,0.38472032742155526,0.6077586206896551,0.47117794486215536,0.7695655328124115,Decision Tree
0.8305002428363283,0.3595438175270108,0.6454741379310345,0.4618350038550501,0.8001640119236358,Logistic Regression
0.8728751821272462,0.43947100712105797,0.46551724137931033,0.4521193092621664,0.7853186694317045,Random Forest
0.8959446333171442,0.5694716242661448,0.3135775862068966,0.4044475330090341,0.7410525545929826,KNN
0.899587178241865,0.6553846153846153,0.22952586206896552,0.3399840383080607,0.809984157654342,Gradient Boosting
